SITE DATA,,,,Identification,,,,,,,,,,,MEASUREMENTS,,,,,,,MISC SAMPLES,,,,,,,SWABS,,,,BLOOD,,,,,,,TEETH,,Notes,,ANESTHESIA,,,,,,Necropsy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNAlater (#),,,,PLAIN (#),,,,Aluminum (#),,,,,Teeth,,
Roost Site,Researchers Present,Date,Net Night,Bat Species,Sample ID,Tattoo/Thumb Tag,Recapture?,Previous_ID,Sex,Class (J/NL/L/P/J/A),Young of the Year?,Mom/Baby Pair?,Mom or Baby?,ID-pair,Weight (g),Body Length (cm),Forearm (mm),Tibia Length (mm),Ear Length (mm),Gonad-L,W-Gonad,Hair Sample (Y/N),Wing Punches (#),# Bat Flies,# Meglastreblidae,# Fleas,# Mites,# Ticks,Urine,Fecal - UTM,Throat,Fecal-Microbiome,Amt Blood in Eppendorf for Serum (ul),Amt Blood in EDTA eppendorf for Plasma (ul),Amt Blood in RNA-protect (ul),# Thick Smears,# Thin Smears,Filter (Y/N),,Tooth Extraction (Y/N),Qualitative Description Teeth,Temperature Tracking,Additional Notes,Performed Anesthesia?,Lidocaine (Y/N),Metacam (ml),LA-200 (ml),duration extraction (min),Aneasthesia Notes,Conducted Necropsy?,Liver,Spleen,Kidney,Brain,Liver,Spleen,Kidney,Brain,Liver,Gonads,Brain,Intestines,Brain,#,types,Quantity for BKA (ul)
Lakato,"CB, CR, LA",8/22/13,2,Eidolon dupreanum,LKT-001,201 Blue RT,,,M,A,,,,,293,20,130,60,30,,,,,,,,,,0,1,2,,1000,,,0,2,y,,n,NA,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Lakato,"CB, CR, LA",8/22/13,2,Eidolon dupreanum,LKT-002,202 Blue RT,,,M,A,,,,,413.5,24.5,130,63,27,,,,,,,,,,1,1,2,,1000,,,0,2,y,,n,NA,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Lakato,"CB, CR, LA",8/22/13,2,Eidolon dupreanum,LKT-003,203 Blue RT,,,M,A,,,,,439,24,136,65,27,,,,,,,,,,2,1,2,,1000,,,0,2,y,,n,NA,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Lakato,"CB, CR, LA",8/22/13,2,Eidolon dupreanum,LKT-004,204 Blue RT,,,M,A,,,,,347.7,23.4,128,60,21,,,,,,,,,,2,1,2,,1000,,,0,2,y,,n,NA,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Lakato,"CB, CR, LA",8/22/13,2,Eidolon dupreanum,LKT-005,206 Blue RT,,,M,A,,,,,423.6,29,126,62,28,,,,,,,,,,0,1,2,,1000,,,0,2,y,,n,NA,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/4/13,1,Pteropus rufus,MARO1,301 Gold RT,,,M,A,,,,,630,37,150,77,36,,,y,,,,,,,2,2,2,,1000,,,0,4,y,,y (5),NA,101.6 (8:07); 100.1 (9:01); 101.3 (9:05); 98.1 (14:00),NA,,y,0.04,0.8,,,,"3, liver, spleen, kidney, RNAlater",,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/4/13,1,Pteropus rufus,MARO2,302 Gold LFT,,,F,L,,,,,600,34.5,153,80,35,,,y,,,,,,,2,2,2,,1000,,,0,4,y,,n,NA,101.3 (9:38),mother to MARO3,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/4/13,1,Pteropus rufus,MARO3,NA,,,F,J,,,,,135,23,91,61,19,,,y,,,,,,,0,2,2,,100,,,0,4,y,,n,NA,too small,juvenile to MARO2,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/4/13,1,Pteropus rufus,MARO4,303 Gold LFT,,,F,L,,,,,510,38,147,85,31,,,y,,,,,,,2 + PBS/BSA,2,2,,1000,,,0,5,y,,y (5) after death,NA,105.7 (11:31); 109 (12:10),mother to MARO5,,NA,NA,NA,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
