Pre-Course Communication 2,Pre-Course Communication,Preparatory Tutorials,Preparatory Tutorials 2,Course Dates,Course Dates 2 copy,Lodging at CVB,Lodging at CVB 2 copy,Food at CVB,Food at CVB 2,General: Transport to Ranomafana,General: Transport to Ranomafana 2,Mentor and Challenge Groups,Mentor and Challenge Groups 2,Evening Mentoring Sessions (by Sign-up),Evening Mentoring Sessions 2 (by Sign-up),General: Pace,General: Pace 2,General: Language,General: Language 2,General: Internationalism,General: International Student Body 2,R Bootcamp: Intro to R Studio (Fidy),R Bootcamp: Intro to R Studio (Fidy) 2,R Bootcamp: Data Exploration and Visualization in R (Christian),R Bootcamp: Data Exploration and Visualization in R 2 (Christian),"R Bootcamp: For-Loops, If-Else Statements, and Functions (Cara)","R Bootcamp: For-Loops, If-Else Statements, and Functions in R 2 (Cara) copy","Monday, Jan 14: What Are We Doing Here? Data and Models (Cara)","Monday, Jan 14: What Are We Doing Here? Data and Models 2 (Cara)","Monday, Jan 14: Introduction to Linear Regression and Simple Statistics (Andres)","Monday, Jan 14: Introduction to Linear Regression and Simple Statistics 2 (Andres)","Monday, Jan 14: Formulating Research Questions (Cara)","Monday, Jan 14: Formulating Research Questions 2 (Cara)","Monday, Jan 14: Intro Malagasy Lesson (Mentors)","Monday, Jan 14: Intro Malagasy Lesson 2 (Mentors)","Tuesday, Jan 15: Intro to Mixed Modeling in R (Andres)","Tuesday, Jan 15: Intro to Mixed Modeling in R 2 (Andres)","Tuesday, Jan 15: Hike in Ranomafana National Park","Tuesday, Jan 15: Hike in Ranomafana National Park 2","Tuesday, Jan 15: Study Design and Data Collection (Amy/Ben)","Tuesday, Jan 15: Study Design and Data Collection 2 (Amy/Ben)","Tuesday, Jan 15: Dynamical Fever (Mentors + Christian)","Tuesday, Jan 15: Dynamical Fever 2 (Mentors + Christian)","Tuesday, Jan 15: Refining Research Questions for Modeling (Cara)","Tuesday, Jan 15: Refining Research Questions for Modeling 2 (Cara)","Wednesday, Jan 16:  Intro to Compartmental and Differential Equations (Amy)","Wednesday, Jan 16:  Intro to Compartmental and Differential Equations 2 (Amy)","Wednesday, Jan 16:  Intro to Compartmental and Differential Equations (Amy) copy","Wednesday, Jan 16:  Refining Research Questions for Modeling 2 (Small Groups)","Wednesday, Jan 16:  Reading a Research Paper (Mentors)","Wednesday, Jan 16:  Reading a Research Paper 2 (Mentors)","Wednesday, Jan 16:  Mentor Research Presentations (Mentors)","Wednesday, Jan 16:  Mentor Research Presentations 2 (Mentors)",Teaching Team: Mentors,Teaching Team: Mentors 2,Teaching Team: Mentors 3,Teaching Team: Instructors,Teaching Team: Instructors 2,Teaching Team: Instructors 3,Final Comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Course communication was adequate to meet my needs.,"The preparatory tutorials were somewhat helpful, but they were too advanced.",,Course dates are convenient for me.,,Lodging at CVB is okay but could be improved.,,Food at CVB is okay but could be better.,,"""The bus ride to Ranomafana is long, but the location is worth it.""",fix the break for a certain duration during the voyage,The 'Challenge Groups' are a distraction from the main goals of the course.,,"The evening mentoring sessions are helpful, but there are not enough available time slots.",,The pace and progression of the lectures/tutorials is just right.,,"The English is somewhat fast and hard to follow. It's okay to continue teaching in English, but it would be helpful if the instructors slowed down.",,I think the course would be better if it was exclusively Malagasy students.,,I did not attend the R Bootcamp.,,I did not attend the R Bootcamp.,,I did not attend the R Bootcamp.,,This lecture was clear and comprehensible.,,"Some of this lecture/tutorial was comprehensible, but much was also difficult to understand.",,This exercise was very helpful to my understanding of statistical and mechanistic models.,,This exercise was enjoyable and a useful addition to the course.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,The hike was fun and improved my experience of the course.,,This lecture was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,The mentors improve my understanding and facilitate my learning in this course.,They need to master more the subject they have to discuss,,The instructors are helpful and approachable.,,They need to consider the levels of all students because they sometimes assume that we understand all they say.,
,Pre-Course communication was adequate to meet my needs.,The preparatory tutorials were clear and helpful.,It was enough. I like it.,Course dates are convenient for me.,,Lodging at CVB is acceptable.,,Food at CVB is okay but could be better.,,The bus ride to Ranomafana was no problem for me.,,"The 'Challenge Groups' are fun, but there is not enough time to complete the tasks.",,"The evening mentoring sessions are helpful, but there are not enough available time slots.",,The pace and progression of the lectures/tutorials is just right.,,The English is no problem for me.,,I enjoy having students from all over the world in the course together.,,This lecture was clear and comprehensible.,,This lecture was clear and comprehensible.,,"Some of this lecture was comprehensible, but much was also difficult to understand.",,This lecture was clear and comprehensible.,,"Some of this lecture/tutorial was comprehensible, but much was also difficult to understand.",,This exercise was very helpful to my understanding of statistical and mechanistic models.,,This exercise was enjoyable and a useful addition to the course.,,This lecture/tutorial was somewhat helpful to my understanding of statistical and mechanistic models.,,The hike was fun and improved my experience of the course.,,This lecture was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,The mentors improve my understanding and facilitate my learning in this course.,It's useful,,The instructors are helpful and approachable.,,"Thanks, I am not in the same as I had before.",
"Well done, nothing to add :-)",Pre-Course communication was adequate to meet my needs.,"The preparatory tutorials were somewhat helpful, but they were too advanced.",need practice more,Course dates are convenient for me.,,Lodging at CVB is acceptable.,,Food at CVB is acceptable.,,The bus ride to Ranomafana was no problem for me.,,"The 'Challenge Groups' are fun, but there is not enough time to complete the tasks.","fun but it's just for fun so don't need to be so serious, then don't ask us to find translate or error, it's waste of time",The evening mentoring sessions are a helpful way to get my questions answered.,,The pace and progression of the lectures/tutorials is just right.,,"The English is somewhat fast and hard to follow. It's okay to continue teaching in English, but it would be helpful if the instructors slowed down.",instructor should speak slower but generally it's acceptable,I enjoy having students from all over the world in the course together.,,This lecture was clear and comprehensible.,,This lecture was clear and comprehensible.,,"Some of this lecture was comprehensible, but much was also difficult to understand.",need more practice,This lecture was clear and comprehensible.,,This lecture/tutorial was clear and comprehensible.,,This exercise was very helpful to my understanding of statistical and mechanistic models.,,This exercise was enjoyable and a useful addition to the course.,,This lecture/tutorial was somewhat helpful to my understanding of statistical and mechanistic models.,Need more practice and at what time used mixed model,The hike was fun and improved my experience of the course.,,This lecture was somewhat helpful to my understanding of statistical and mechanistic models.,for Ben it was so confused,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,very very good job Amy,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,The mentors improve my understanding and facilitate my learning in this course.,just listen to us and help us at the time we need them but not all the time,they help us very well and listen to us,The instructors are helpful and approachable.,good job instructor,I really love the way who Amy and Cara explain,yes I admit that it's met my expectation but I think we need more practice
communication is sufficient but it is better if we add more examples to explain each topic,Pre-Course communication was adequate to meet my needs.,The preparatory tutorials were clear and helpful.,explanation of why do we use each function,Course dates are convenient for me.,,Lodging at CVB is acceptable.,"very good, we have all we need. keep on to having lodging like this for each workshop",Food at CVB is acceptable.,,The bus ride to Ranomafana was no problem for me.,,"The 'Challenge Groups' are fun, but there is not enough time to complete the tasks.","some mentors don't give an explanation but just say check in, we can check everything but their presence should be helpful ","The evening mentoring sessions are helpful, but there are not enough available time slots.",,The pace and progression of the lectures/tutorials is just right.,,The English is no problem for me.,,I enjoy having students from all over the world in the course together.,,"Some of this lecture was comprehensible, but much was also difficult to understand.",,This lecture was clear and comprehensible.,,"Some of this lecture was comprehensible, but much was also difficult to understand.",,This lecture was clear and comprehensible.,,"Some of this lecture/tutorial was comprehensible, but much was also difficult to understand.",more explanation for each function and more applications,This exercise was very helpful to my understanding of statistical and mechanistic models.,,This exercise was enjoyable and a useful addition to the course.,,This lecture/tutorial was somewhat helpful to my understanding of statistical and mechanistic models.,,The hike was fun and improved my experience of the course.,,This lecture was not at all helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,we have to spend much time to refine our topic,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,mentors should add more explanations for the topic and givve also more examples,The mentors do not impact my course experience in any significant way.,no more time for speaking with mentor,ok with my mentor (Mirana),The instructors are helpful and approachable.,,Amy is a very good instructor,good in general but need more examples for each situations and each models
,Pre-Course communication was adequate to meet my needs.,"The preparatory tutorials were somewhat helpful, but they were too advanced.",preparatory is helpful but I need to improve my own background,Course dates are convenient for me.,,Lodging at CVB is acceptable.,the lodging is awesome,Food at CVB is acceptable.,oh! everything is okay ,The bus ride to Ranomafana was no problem for me.,I really enjoy the travel,"The 'Challenge Groups' are fun, but there is not enough time to complete the tasks.",,The evening mentoring sessions are a helpful way to get my questions answered.,,The pace and progression of the lectures/tutorials is too fast for me.,,"The English is somewhat fast and hard to follow. It's okay to continue teaching in English, but it would be helpful if the instructors slowed down.",It's a great opportunity for me to learn the course all in english,I enjoy having students from all over the world in the course together.,,"Some of this lecture was comprehensible, but much was also difficult to understand.",,This lecture was clear and comprehensible.,,This lecture was clear and comprehensible.,,This lecture was clear and comprehensible.,,This lecture/tutorial was clear and comprehensible.,,This exercise was very helpful to my understanding of statistical and mechanistic models.,,This exercise was enjoyable and a useful addition to the course.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,The hike was fun and improved my experience of the course.,,This lecture was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,The mentors improve my understanding and facilitate my learning in this course.,teaching team is great,,The instructors are helpful and approachable.,,teaching team instructor is huge,Thank you for accepting me intothis workshop you help me a lot . Love you all
"communication is adequate. Instructor, begin to speak slowly and become comprehensible",Pre-Course communication was adequate to meet my needs.,"The preparatory tutorials were somewhat helpful, but they were too advanced.",,Course dates are convenient for me.,dates are OK,Lodging at CVB is acceptable.,Lodging is okay,Food at CVB is acceptable.,just that i enjoy pasta. So more pasta like rice,The bus ride to Ranomafana was no problem for me.,,"The 'Challenge Groups' are fun, but there is not enough time to complete the tasks.",should be related with the course of the day,"The evening mentoring sessions are helpful, but there are not enough available time slots.",,The pace and progression of the lectures/tutorials is too fast for me.,pace of lecture could be acceptable but give more time to assimilate ,"The English is somewhat fast and hard to follow. It's okay to continue teaching in English, but it would be helpful if the instructors slowed down.",language is okay as we practice and learn english but should be slowly,I enjoy having students from all over the world in the course together.,many talk very fast but in general they are cool,"Some of this lecture was comprehensible, but much was also difficult to understand.",,This lecture was clear and comprehensible.,,This lecture was impossible to understand.,too fast,This lecture was clear and comprehensible.,,This lecture/tutorial was clear and comprehensible.,,This exercise was very helpful to my understanding of statistical and mechanistic models.,,This exercise was enjoyable and a useful addition to the course.,,This lecture/tutorial was somewhat helpful to my understanding of statistical and mechanistic models.,,The hike was fun and improved my experience of the course.,,This lecture was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,The mentors improve my understanding and facilitate my learning in this course.,should more explicite and comprehensive,,The instructors are helpful and approachable.,,Amy and Cara can explain step by step and course are praticable,workshop is interesting
,Pre-Course communication was adequate to meet my needs.,"The preparatory tutorials were somewhat helpful, but they were too advanced.",,Course dates are convenient for me.,,Lodging at CVB is acceptable.,,Food at CVB is acceptable.,,"""The bus ride to Ranomafana is long, but the location is worth it.""",,"The 'Challenge Groups' are fun, but there is not enough time to complete the tasks.",,The evening mentoring sessions are a helpful way to get my questions answered.,,The pace and progression of the lectures/tutorials is too fast for me.,More time practice for tutorials,"The English is somewhat fast and hard to follow. It's okay to continue teaching in English, but it would be helpful if the instructors slowed down.",,I enjoy having students from all over the world in the course together.,,"Some of this lecture was comprehensible, but much was also difficult to understand.",,"Some of this lecture was comprehensible, but much was also difficult to understand.",,"Some of this lecture was comprehensible, but much was also difficult to understand.",For-Loops,"Some of this lecture was comprehensible, but much was also difficult to understand.",,This lecture/tutorial was clear and comprehensible.,,This exercise was somewhat helpful to my understanding of statistical and mechanistic models.,,This exercise was enjoyable and a useful addition to the course.,,This lecture/tutorial was somewhat helpful to my understanding of statistical and mechanistic models.,re-explain the concept,The hike was fun and improved my experience of the course.,,This lecture was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This lecture/tutorial was very helpful to my understanding of statistical and mechanistic models.,,This activity was very helpful to my understanding of statistical and mechanistic models.,,This activity was somewhat helpful to my understanding of statistical and mechanistic models.,,This activity was not at all helpful to my understanding of statistical and mechanistic models.,There are no mentors research presentations for today 16/01/2019,The mentors improve my understanding and facilitate my learning in this course.,Thanks for all guys!!!,,The instructors are helpful and approachable.,,"All instructors are cool. 
Amy: your explanation were clear! Thanks!",Amazing workshop!!! ;)
