host,ecto,season
lemur,tick,1
bird,mite,1
fossa,mite,1
bat,bat fly,1
bat,bat fly,1
bat,bat fly,1
bat,bat fly,1
bird,flea,1
lemur,flea,1
lemur,mite,1
bird,flea,1
bird,mite,1
bat,bat fly,1
fossa,mite,1
bat,bat fly,1
fossa,mite,1
bat,bat fly,1
bird,tick,1
bat,bat fly,1
lemur,tick,1
bat,bat fly,1
lemur,mite,1
fossa,tick,1
bird,flea,1
lemur,tick,1
fossa,mite,1
lemur,tick,1
bird,mite,1
bat,bat fly,1
lemur,mite,1
fossa,tick,1
bird,flea,1
bat,bat fly,1
bird,mite,1
bird,flea,1
bird,flea,1
fossa,flea,1
bird,mite,1
lemur,tick,1
bat,bat fly,1
fossa,mite,1
fossa,tick,1
lemur,tick,1
bird,mite,1
bird,flea,1
bat,bat fly,1
lemur,mite,1
bird,tick,1
lemur,flea,1
bat,bat fly,1
fossa,flea,1
fossa,mite,1
bat,bat fly,1
lemur,mite,1
fossa,flea,1
lemur,tick,1
bird,tick,1
lemur,tick,1
lemur,tick,1
bird,mite,1
bird,mite,1
fossa,flea,1
bird,tick,1
lemur,flea,1
lemur,tick,1
bat,bat fly,1
fossa,tick,1
fossa,mite,1
bird,mite,1
fossa,mite,1
fossa,flea,1
bat,bat fly,1
bat,bat fly,1
lemur,tick,1
fossa,flea,1
bird,flea,1
fossa,tick,1
bird,tick,1
bat,bat fly,1
lemur,flea,1
fossa,mite,1
lemur,flea,1
bat,bat fly,1
bat,bat fly,1
lemur,tick,1
fossa,flea,1
bird,mite,1
bat,bat fly,1
bird,flea,1
lemur,tick,1
lemur,flea,1
bird,flea,1
fossa,tick,1
bat,bat fly,1
fossa,mite,1
fossa,mite,1
lemur,mite,1
fossa,flea,1
bat,bat fly,1
bat,bat fly,1
fossa,tick,2
bat,bat fly,2
fossa,mite,2
bat,bat fly,2
fossa,tick,2
lemur,flea,2
bird,mite,2
bat,bat fly,2
lemur,tick,2
fossa,flea,2
lemur,tick,2
bird,flea,2
bat,bat fly,2
lemur,mite,2
bird,mite,2
bird,flea,2
fossa,mite,2
fossa,mite,2
